Product Number,ERP PRICE,SHEIN PRICE,SLEEVE,NECKLINE,LENGTH,FIT,DETAIL,STYLE MOOD,PIECE,MODEL,NOTES,TOP1_CHEST,TOP1_LENGTH,TOP1_SLEEVE,TOP2_CHEST,TOP2_LENGTH,TOP2_SLEEVE,BOTTOM_WAIST,BOTTOM_HIP,BOTTOM_LENGTH,BOTTOM_INSEAM,TEMU PRICE
BTS5581,8.5,19.5,Long,Mock,"Crop Top, Maxi Skirt",Slim,Drawstring,Casual,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST32107,4.25,13,Sleeveless,Round,Crop Top,Slim,Graphic,Casual,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD3458,6.0,14.75,Sleeveless,One Shoulder,Mini Dress,Slim,Cut Out,Sexy,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD3458X,7.75,17,Sleeveless,One Shoulder,Mini Dress,Slim,Cut Out,Sexy,Single,"Plus, Latina/Black",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD3479,5.5,11.79,Sleeveless,One Shoulder,Mini Dress,Slim,"Cut Out, Ruched",Sexy,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD3492,7.75,11,Sleeveless,Halter,Midi Dress,Slim,"Slit, Ring, Tie, Backless",Sexy,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD5240,5.75,11.75,Sleeveless,Tube,Mini Dress,Slim,Corset,Sexy,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BP3611,6.5,11.75,,,Full,Regular,Button/Zipper,Formal,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BP5284,4.75,9.89,Short,Crew,,Slim,Backless,Casual,Single,"Latina/Black, Caucasian",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BP5295,5.25,10.79,Sleeveless,Square,Shorts,Slim,,Casual,Single,Latina/Black,Video,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT3043,5.5,12,Long,Mock,,Slim,,Casual,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT5382,4.5,13.75,Long,Round,Crop Top,Slim,Button/Zipper,Casual,Single,Caucasian,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTP3342,5.75,10.79,Sleeveless,Cami,"Crop Top, Shorts",Slim,Slit,Casual,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTP3342X,7.25,13.5,Sleeveless,Cami,"Crop Top, Shorts",Slim,Slit,Casual,Single,"Plus, Latina/Black",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTS3459,7.25,9.79->10.89,Sleeveless,One Shoulder,"Crop Top, Midi Skirt",Slim,"Drawstring, Slit, Ruched, Criss cross",Sexy,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTS3516,6.5,11,Sleeveless,One Shoulder,"Crop Top, Mini Skirt",Slim,Ruched,Sexy,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTS3516X,8.0,13.5,Sleeveless,One Shoulder,"Crop Top, Mini Skirt",Slim,Ruched,Sexy,Single,"Plus, Latina/Black",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTS3640,8.0,15.5,Long,Square,"Crop Top, Midi Skirt",Slim,Slit,Sexy,Single,Latina/Black,Size Chart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BP3365X,4.0,12.5,,,Knee,Slim,Mesh,Sexy,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD5231,6.75,15.75,Sleeveless,Round,Midi Dress,Slim,Fringe,Casual,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD5501,6.75,15.75,Sleeveless,Cami,Maxi Dress,Slim,"Slit, Lace",Sexy,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
